level,run,variant,source,case,region,role,samples,run_count,median_us,p95_us,min_run_median_us,max_run_median_us,run_median_spread_us,run_median_spread_percent,baseline_median_us,delta_us,delta_percent,target_metric,allocation_status,median_bytes_per_iteration
run,run05-mass,mass,physics,character,box_mass_divide,representative,8,1,4.49609375,4.5916162109375,,,,,,,,True,unavailable,
run,run05-mass,mass,physics,character,prepare_colliders,representative,64,1,20.6,21.7,,,,,,,,False,unavailable,
run,run05-mass,mass,physics,character,provisional_build,representative,64,1,78.65,81.27,,,,,,,,True,unavailable,
run,run05-mass,mass,physics,character,shape_pair_create_dispose,representative,8,1,6.2310546875,7.065917968749999,,,,,,,,False,unavailable,
run,run05-mass,mass,registration,highwater2048_live16,late_duplicate,stress,8,1,1.92685546875,2.022696533203125,,,,,,,,False,unavailable,
run,run05-mass,mass,registration,highwater2048_live16,unregistered,stress,8,1,1.92711181640625,2.030726318359375,,,,,,,,False,unavailable,
run,run05-mass,mass,registration,live16,late_duplicate,representative,8,1,0.025097656250000003,0.025146484375,,,,,,,,False,unavailable,
run,run05-mass,mass,registration,live16,unregistered,representative,8,1,0.02529296875,0.0346044921875,,,,,,,,False,unavailable,
run,run05-mass,mass,registration,live32,late_duplicate,representative,8,1,0.0604248046875,0.060919189453124994,,,,,,,,False,unavailable,
run,run05-mass,mass,registration,live32,unregistered,representative,8,1,0.05933837890625,0.060242919921875,,,,,,,,False,unavailable,
run,run05-mass,mass,registration,live512,late_duplicate,stress,8,1,0.7716796875,0.791575927734375,,,,,,,,False,unavailable,
run,run05-mass,mass,registration,live512,unregistered,stress,8,1,0.80640869140625,0.8387780761718749,,,,,,,,False,unavailable,
run,run06-all,all,physics,box,adopt_colliders,representative,64,1,2.5,2.7,,,,,,,,True,unavailable,
run,run06-all,all,physics,box,box_mass_divide,representative,8,1,3.722998046875,3.8098193359375,,,,,,,,True,unavailable,
run,run06-all,all,physics,box,prepare_colliders,representative,64,1,4.3,4.7,,,,,,,,True,unavailable,
run,run06-all,all,physics,box,provisional_build,representative,64,1,34.0,37.155,,,,,,,,True,unavailable,
run,run06-all,all,physics,box,shape_pair_create_dispose,representative,8,1,2.4611328125,3.7961914062499993,,,,,,,,True,unavailable,
run,run06-all,all,physics,character,adopt_colliders,representative,64,1,10.3,12.904999999999992,,,,,,,,True,unavailable,
run,run06-all,all,physics,character,box_mass_divide,representative,8,1,3.9603027343750004,4.573945312499999,,,,,,,,True,unavailable,
run,run06-all,all,physics,character,prepare_colliders,representative,64,1,18.85,21.585,,,,,,,,True,unavailable,
run,run06-all,all,physics,character,provisional_build,representative,64,1,69.30000000000001,87.48999999999998,,,,,,,,True,unavailable,
run,run06-all,all,physics,character,shape_pair_create_dispose,representative,8,1,3.1275390625000004,3.5131640625,,,,,,,,True,unavailable,
run,run06-all,all,registration,highwater2048_live16,late_duplicate,stress,8,1,0.001904296875,0.001904296875,,,,,,,,True,unavailable,
run,run06-all,all,registration,highwater2048_live16,unregistered,stress,8,1,0.001904296875,0.001904296875,,,,,,,,True,unavailable,
run,run06-all,all,registration,live16,late_duplicate,representative,8,1,0.001904296875,0.001904296875,,,,,,,,True,unavailable,
run,run06-all,all,registration,live16,unregistered,representative,8,1,0.0017333984375,0.0019287109375,,,,,,,,True,unavailable,
run,run06-all,all,registration,live32,late_duplicate,representative,8,1,0.001904296875,0.008188476562499995,,,,,,,,True,unavailable,
run,run06-all,all,registration,live32,unregistered,representative,8,1,0.001904296875,0.0028564453124999994,,,,,,,,True,unavailable,
run,run06-all,all,registration,live512,late_duplicate,stress,8,1,0.001904296875,0.001904296875,,,,,,,,True,unavailable,
run,run06-all,all,registration,live512,unregistered,stress,8,1,0.00189208984375,0.001904296875,,,,,,,,True,unavailable,
run,run07-all,all,physics,box,adopt_colliders,representative,64,1,2.8,3.7699999999999987,,,,,,,,True,unavailable,
run,run07-all,all,physics,box,box_mass_divide,representative,8,1,4.1896484375,4.4720849609375,,,,,,,,True,unavailable,
run,run07-all,all,physics,box,prepare_colliders,representative,64,1,4.7,6.054999999999998,,,,,,,,True,unavailable,
run,run07-all,all,physics,box,provisional_build,representative,64,1,36.55,55.56999999999992,,,,,,,,True,unavailable,
run,run07-all,all,physics,box,shape_pair_create_dispose,representative,8,1,1.4498046875,1.470703125,,,,,,,,True,unavailable,
run,run07-all,all,physics,character,adopt_colliders,representative,64,1,10.8,11.3,,,,,,,,True,unavailable,
run,run07-all,all,physics,character,box_mass_divide,representative,8,1,4.25341796875,4.389677734375,,,,,,,,True,unavailable,
run,run07-all,all,physics,character,prepare_colliders,representative,64,1,19.1,21.379999999999995,,,,,,,,True,unavailable,
run,run07-all,all,physics,character,provisional_build,representative,64,1,72.15,77.88999999999999,,,,,,,,True,unavailable,
run,run07-all,all,physics,character,shape_pair_create_dispose,representative,8,1,3.524609375,3.5685546875,,,,,,,,True,unavailable,
run,run07-all,all,registration,highwater2048_live16,late_duplicate,stress,8,1,0.0023559570312499997,0.0023681640625,,,,,,,,True,unavailable,
run,run07-all,all,registration,highwater2048_live16,unregistered,stress,8,1,0.0021240234375,0.0021484375,,,,,,,,True,unavailable,
run,run07-all,all,registration,live16,late_duplicate,representative,8,1,0.00230712890625,0.0023193359375,,,,,,,,True,unavailable,
run,run07-all,all,registration,live16,unregistered,representative,8,1,0.002099609375,0.002099609375,,,,,,,,True,unavailable,
run,run07-all,all,registration,live32,late_duplicate,representative,8,1,0.00220947265625,0.0023193359375,,,,,,,,True,unavailable,
run,run07-all,all,registration,live32,unregistered,representative,8,1,0.0020751953125,0.002099609375,,,,,,,,True,unavailable,
run,run07-all,all,registration,live512,late_duplicate,stress,8,1,0.00230712890625,0.0023193359375,,,,,,,,True,unavailable,
run,run07-all,all,registration,live512,unregistered,stress,8,1,0.002099609375,0.002115478515625,,,,,,,,True,unavailable,
run,run08-mass,mass,physics,box,adopt_colliders,representative,64,1,2.7,3.1,,,,,,,,False,unavailable,
run,run08-mass,mass,physics,box,box_mass_divide,representative,8,1,3.798486328125,3.9409033203124997,,,,,,,,True,unavailable,
run,run08-mass,mass,physics,box,prepare_colliders,representative,64,1,4.8,5.969999999999999,,,,,,,,False,unavailable,
run,run08-mass,mass,physics,box,provisional_build,representative,64,1,37.0,47.414999999999964,,,,,,,,True,unavailable,
