case,case_order,round,order,mode,warmup,span_id,span,ticks,thread_cycles,count,frequency,positive_colliders,negative_colliders,build_positive_first,activate_positive_first,published,validated,cleaned
box,0,1,0,1,0,10,newRoot+,57,12449,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,11,newRoot-,111,24113,1,10000000,1,1,0,0,1,1,1
box,0,1,1,2,0,0,buildtotal,930,195991,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,1,objects+,379,80258,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,2,objects-,148,31468,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,3,colliders+,53,11634,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,4,colliders-,24,5359,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,5,publishtotal,576,121182,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,6,SetActive+,297,62992,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,7,SetActive-,51,11104,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,8,BuildSide+,453,95096,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,9,BuildSide-,182,38157,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,10,newRoot+,127,27192,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,11,newRoot-,37,8093,1,10000000,1,1,1,1,1,1,1
box,0,1,2,0,0,0,buildtotal,851,179021,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,1,objects+,359,75791,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,2,objects-,134,28532,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,3,colliders+,47,10301,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,4,colliders-,21,4779,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,5,publishtotal,543,114336,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,6,SetActive+,180,38353,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,7,SetActive-,160,34139,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,8,BuildSide+,419,88004,1,10000000,1,1,1,0,1,1,1
box,0,1,2,0,0,9,BuildSide-,166,34620,1,10000000,1,1,1,0,1,1,1
