run,backend,source_fingerprint,case,phase,mode,probe_schema,stage,metric,positive_minus_negative_n,positive_minus_negative_median,positive_minus_negative_p95,positive_minus_negative_min,positive_minus_negative_max,first_minus_second_n,first_minus_second_median,first_minus_second_p95,first_minus_second_min,first_minus_second_max,order_kind,positive_ordinal,negative_ordinal,positive_colliders,negative_colliders
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,BuildSide,elapsed_us,1,-10.9,-10.9,-10.9,-10.9,1,10.9,10.9,10.9,10.9,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,BuildSide,thread_cycles,1,-22946.0,-22946.0,-22946,-22946,1,22946.0,22946.0,22946,22946,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,SetActive,elapsed_us,1,14.200000000000001,14.200000000000001,14.200000000000001,14.200000000000001,1,14.200000000000001,14.200000000000001,14.200000000000001,14.200000000000001,activation,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,SetActive,thread_cycles,1,30103.0,30103.0,30103,30103,1,30103.0,30103.0,30103,30103,activation,1,2,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,colliders,elapsed_us,1,-0.9,-0.9,-0.9,-0.9,1,0.9,0.9,0.9,0.9,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,colliders,thread_cycles,1,-1856.0,-1856.0,-1856,-1856,1,1856.0,1856.0,1856,1856,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,newRoot,elapsed_us,1,-2.3000000000000003,-2.3000000000000003,-2.3000000000000003,-2.3000000000000003,1,2.3000000000000003,2.3000000000000003,2.3000000000000003,2.3000000000000003,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,newRoot,thread_cycles,1,-4810.0,-4810.0,-4810,-4810,1,4810.0,4810.0,4810,4810,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,objects,elapsed_us,1,-9.3,-9.3,-9.3,-9.3,1,9.3,9.3,9.3,9.3,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,objects,thread_cycles,1,-19633.0,-19633.0,-19633,-19633,1,19633.0,19633.0,19633,19633,build,2,1,1,1
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,character,measured,0,newRoot,BuildSide,elapsed_us,8,15.9,25.794999999999998,-22.0,28.700000000000003,8,15.9,25.794999999999998,-22.0,28.700000000000003,build,1,2,15,9
