run,backend,source_fingerprint,case,phase,mode,probe_schema,span,paired_round_delta_elapsed_us_n,paired_round_delta_elapsed_us_median,paired_round_delta_elapsed_us_p95,paired_round_delta_elapsed_us_min,paired_round_delta_elapsed_us_max,paired_round_delta_thread_cycles_n,paired_round_delta_thread_cycles_median,paired_round_delta_thread_cycles_p95,paired_round_delta_thread_cycles_min,paired_round_delta_thread_cycles_max,elapsed_us_delta_of_medians,elapsed_us_delta_of_medians_percent,thread_cycles_delta_of_medians,thread_cycles_delta_of_medians_percent
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,SetActive+,1,-2.1999999999999993,-2.1999999999999993,-2.1999999999999993,-2.1999999999999993,1,-4701.0,-4701.0,-4701,-4701,-2.1999999999999993,-15.714285714285714,-4701.0,-15.739779689958821
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,SetActive-,1,-0.3000000000000007,-0.3000000000000007,-0.3000000000000007,-0.3000000000000007,1,-889.0,-889.0,-889,-889,-0.3000000000000007,-3.0303030303030387,-889.0,-4.151489679648823
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,SetActive_pair,1,-2.5,-2.5,-2.5,-2.5,1,-5590.0,-5590.0,-5590,-5590,-2.5,-10.460251046025103,-5590.0,-10.90072346483103
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,buildtotal,1,-4.899999999999999,-4.899999999999999,-4.899999999999999,-4.899999999999999,1,-12487.0,-12487.0,-12487,-12487,-4.899999999999999,-10.675381263616558,-12487.0,-12.57755842062852
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,colliders+,1,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,1,-2173.0,-2173.0,-2173,-2173,-0.9999999999999999,-52.63157894736842,-2173.0,-50.9018505504802
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,colliders-,1,1.1,1.1,1.1,1.1,1,2182.0,2182.0,2182,2182,1.1,110.00000000000001,2182.0,92.49682068673167
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,colliders_pair,1,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,1,9.0,9.0,9,9,0.10000000000000009,3.4482758620689724,9.0,0.13578756789378588
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,newRoot+,1,-3.9999999999999996,-3.9999999999999996,-3.9999999999999996,-3.9999999999999996,1,-8682.0,-8682.0,-8682,-8682,-3.9999999999999996,-65.57377049180327,-8682.0,-65.41098470579372
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,newRoot-,1,2.3,2.3,2.3,2.3,1,5074.0,5074.0,5074,5074,2.3,114.99999999999999,5074.0,113.3095131755248
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,1,newRoot,newRoot_pair,1,-1.6999999999999993,-1.6999999999999993,-1.6999999999999993,-1.6999999999999993,1,-3608.0,-3608.0,-3608,-3608,-1.6999999999999993,-20.987654320987648,-3608.0,-20.32561545828404
