run,backend,source_fingerprint,probe_schema,case,phase,stage,metric,order_kind,mode_before,mode_after,positive_minus_negative_before,positive_minus_negative_after,first_minus_second_before,first_minus_second_after,side_difference_sign_reverses,ordinal_difference_sign_agrees
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,newRoot,elapsed_us,build,2,3,2.6500000000000004,-2.5500000000000003,2.6500000000000004,2.5500000000000003,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,box,measured,newRoot,thread_cycles,build,2,3,5704.0,-5365.5,5704.0,5365.5,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,objects,elapsed_us,build,0,1,35.9,-7.6000000000000005,35.9,7.6000000000000005,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,objects,thread_cycles,build,0,1,69734.0,-16184.0,69734.0,16184.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,objects,elapsed_us,build,2,3,10.4,-8.1,10.4,8.1,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,objects,thread_cycles,build,2,3,22004.0,-17053.0,22004.0,17053.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,colliders,elapsed_us,build,0,1,9.600000000000001,4.1000000000000005,9.600000000000001,-4.1000000000000005,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,colliders,thread_cycles,build,0,1,20403.0,8749.0,20403.0,-8749.0,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,colliders,elapsed_us,build,2,3,5.5,4.5,5.5,-4.5,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,colliders,thread_cycles,build,2,3,11710.0,9557.0,11710.0,-9557.0,False,False
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,BuildSide,elapsed_us,build,0,1,46.6,-3.8000000000000003,46.6,3.8000000000000003,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,BuildSide,thread_cycles,build,0,1,91778.0,-7915.0,91778.0,7915.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,BuildSide,elapsed_us,build,2,3,16.400000000000002,-4.0,16.400000000000002,4.0,True,True
player00-66233b83,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,newRoot,character,warmup,BuildSide,thread_cycles,build,2,3,34741.0,-8437.0,34741.0,8437.0,True,True
