case,case_order,round,order,mode,warmup,span_id,span,ticks,thread_cycles,count,frequency,positive_colliders,negative_colliders,build_positive_first,activate_positive_first,published,validated,cleaned
box,0,0,3,2,0,11,newRoot-,27,5993,1,10000000,1,1,1,1,1,1,1
box,0,1,0,1,0,0,buildtotal,562,120046,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,1,objects+,90,19211,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,2,objects-,211,44808,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,3,colliders+,12,2705,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,4,colliders-,23,5337,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,5,publishtotal,654,105694,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,6,SetActive+,358,44105,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,7,SetActive-,119,25678,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,8,BuildSide+,109,22943,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,9,BuildSide-,249,52221,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,10,newRoot+,26,5744,1,10000000,1,1,0,0,1,1,1
box,0,1,0,1,0,11,newRoot-,62,13455,1,10000000,1,1,0,0,1,1,1
box,0,1,1,2,0,0,buildtotal,544,115551,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,1,objects+,222,47145,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,2,objects-,90,19209,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,3,colliders+,24,5260,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,4,colliders-,11,2648,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,5,publishtotal,424,89492,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,6,SetActive+,222,47182,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,7,SetActive-,42,9224,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,8,BuildSide+,259,54590,1,10000000,1,1,1,1,1,1,1
box,0,1,1,2,0,9,BuildSide-,109,22886,1,10000000,1,1,1,1,1,1,1
