case,case_order,round,order,mode,warmup,span_id,span,ticks,thread_cycles,count,frequency,positive_colliders,negative_colliders,build_positive_first,activate_positive_first,published,validated,cleaned
character,0,1,1,2,0,11,newRoot-,23,5127,1,10000000,15,9,1,1,1,1,1
character,0,1,2,0,0,0,buildtotal,619,130809,1,10000000,15,9,1,0,1,1,1
character,0,1,2,0,0,1,objects+,146,31093,1,10000000,15,9,1,0,1,1,1
character,0,1,2,0,0,2,objects-,67,14301,1,10000000,15,9,1,0,1,1,1
character,0,1,2,0,0,3,colliders+,134,28584,1,10000000,15,9,1,0,1,1,1
character,0,1,2,0,0,4,colliders-,71,15301,1,10000000,15,9,1,0,1,1,1
character,0,1,2,0,0,5,publishtotal,622,131113,1,10000000,15,9,1,0,1,1,1
character,0,1,2,0,0,6,SetActive+,274,58316,1,10000000,15,9,1,0,1,1,1
character,0,1,2,0,0,7,SetActive-,184,39079,1,10000000,15,9,1,0,1,1,1
character,0,1,2,0,0,8,BuildSide+,294,61984,1,10000000,15,9,1,0,1,1,1
character,0,1,2,0,0,9,BuildSide-,145,30486,1,10000000,15,9,1,0,1,1,1
character,0,1,2,0,0,10,newRoot+,48,10594,1,10000000,15,9,1,0,1,1,1
character,0,1,2,0,0,11,newRoot-,19,4227,1,10000000,15,9,1,0,1,1,1
character,0,1,3,3,0,0,buildtotal,641,135666,1,10000000,15,9,0,1,1,1,1
character,0,1,3,3,0,1,objects+,66,14228,1,10000000,15,9,0,1,1,1,1
character,0,1,3,3,0,2,objects-,174,36807,1,10000000,15,9,0,1,1,1,1
character,0,1,3,3,0,3,colliders+,115,24540,1,10000000,15,9,0,1,1,1,1
character,0,1,3,3,0,4,colliders-,88,18802,1,10000000,15,9,0,1,1,1,1
character,0,1,3,3,0,5,publishtotal,624,131768,1,10000000,15,9,0,1,1,1,1
character,0,1,3,3,0,6,SetActive+,331,70267,1,10000000,15,9,0,1,1,1,1
character,0,1,3,3,0,7,SetActive-,109,23470,1,10000000,15,9,0,1,1,1,1
character,0,1,3,3,0,8,BuildSide+,189,39680,1,10000000,15,9,0,1,1,1,1
character,0,1,3,3,0,9,BuildSide-,278,58467,1,10000000,15,9,0,1,1,1,1
character,0,1,3,3,0,10,newRoot+,20,4439,1,10000000,15,9,0,1,1,1,1
character,0,1,3,3,0,11,newRoot-,43,9560,1,10000000,15,9,0,1,1,1,1
character,0,2,0,2,0,0,buildtotal,634,134022,1,10000000,15,9,1,1,1,1,1
character,0,2,0,2,0,1,objects+,158,33572,1,10000000,15,9,1,1,1,1,1
character,0,2,0,2,0,2,objects-,71,15222,1,10000000,15,9,1,1,1,1,1
character,0,2,0,2,0,3,colliders+,129,27648,1,10000000,15,9,1,1,1,1,1
character,0,2,0,2,0,4,colliders-,75,16115,1,10000000,15,9,1,1,1,1,1
character,0,2,0,2,0,5,publishtotal,625,131760,1,10000000,15,9,1,1,1,1,1
character,0,2,0,2,0,6,SetActive+,342,72517,1,10000000,15,9,1,1,1,1,1
character,0,2,0,2,0,7,SetActive-,109,23462,1,10000000,15,9,1,1,1,1,1
character,0,2,0,2,0,8,BuildSide+,301,63363,1,10000000,15,9,1,1,1,1,1
character,0,2,0,2,0,9,BuildSide-,154,32197,1,10000000,15,9,1,1,1,1,1
character,0,2,0,2,0,10,newRoot+,47,10356,1,10000000,15,9,1,1,1,1,1
character,0,2,0,2,0,11,newRoot-,20,4369,1,10000000,15,9,1,1,1,1,1
character,0,2,1,3,0,0,buildtotal,653,138564,1,10000000,15,9,0,1,1,1,1
